"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000641063.1",12.5929382254188,-5.21167875144806,1.56844664350888,-3.32282820905444,0.000891097741057767,0.0446810940290897
"ENST00000377464.5",254.467938225419,-9.93201754704956,1.91433764455436,-5.18822663039762,2.1230613356034e-07,0.000620093139596362
"ENST00000377403.7",165.467938225419,-8.78426062300246,2.21996199027136,-3.95694190328399,7.59153844792235e-05,0.0122333715430451
"ENST00000376590.9",51.3429382254188,-7.57706722229454,1.7374327502949,-4.36107079310464,1.29427478765498e-05,0.00459190392221371
"ENST00000375199.7",12.4054382254188,-5.49328308404822,1.49050850565184,-3.68550938368906,0.000228245671849027,0.0208057143752105
"ENST00000264211.13",24.9679382254188,-5.74170078446073,1.75574005141062,-3.27024537593003,0.00107454231097955,0.0493740248249506
"ENST00000400422.6",75.0929382254188,-7.99339690244563,1.88875714562979,-4.23209353353912,2.31526080876049e-05,0.00651787759728888
"ENST00000404138.5",122.217938225419,-8.2103978104072,2.1874050338058,-3.75348766392942,0.000174391118351941,0.0184381125403233
"ENST00000675840.1",24.0929382254188,-6.27546008361807,1.73775376430951,-3.6112481598402,0.000304726902945956,0.0238308542134135
"ENST00000528557.6",15.9679382254188,-5.87866320126684,1.51151664340332,-3.88924807869165,0.000100555289000999,0.0135075943309048
"ENST00000697001.1",78.2804382254188,-7.73612813617838,1.97290206242342,-3.92119217852897,8.81119544896887e-05,0.0130955687130415
"ENST00000373204.6",63.7804382254188,-7.93043273744742,1.66949332203138,-4.75020332983299,2.0321221747709e-06,0.00226107460646175
"ENST00000308733.9",22.0304382254188,-5.93099292666452,1.71035075979152,-3.46770561109199,0.000524921997773047,0.0326205515956516
"ENST00000343304.10",14.8429382254188,-5.34645393931592,1.62267919775966,-3.29483113279412,0.000984808405114163,0.0471852190381103
"ENST00000371884.6",31.6554382254188,-6.90175935647855,1.5777290040034,-4.37448975011915,1.21716841747658e-05,0.00458715439399321
"ENST00000371146.5",20.9679382254188,-6.28901283434375,1.54578348681949,-4.06849528926178,4.73177175475145e-05,0.00929097301021197
"ENST00000401042.7",15.6554382254188,-5.61928776385798,1.60548592741543,-3.50005420035299,0.000465163567623098,0.0303603684946405
"ENST00000370950.7",45.1554382254188,-7.42491634690574,1.64998128143836,-4.50000035178163,6.79533500389603e-06,0.00370822659109361
"ENST00000330010.12",36.2179382254188,-6.83291109869629,1.82410814137846,-3.74589145440287,0.000179754307602095,0.0186972698356181
"ENST00000681613.1",5.46793822541885,-4.18508907234848,1.27664475797311,-3.27819391119659,0.00104473600305596,0.048725152589632
"ENST00000680295.1",29.5929382254188,-6.80204950934377,1.56585680903798,-4.34397926431266,1.39924728645309e-05,0.00481021474520328
"ENST00000359242.7",22.8429382254188,-6.04636602251841,1.78088398028662,-3.39514875165832,0.000685913229933738,0.0377455249514746
"ENST00000545708.5",18.3429382254188,-6.08817298599821,1.49950074235018,-4.06013335909136,4.90446953695924e-05,0.00939424294939136
"ENST00000676292.1",8.59293822541885,-4.92060845818639,1.3766017793384,-3.57446033561809,0.000350951007755316,0.0255461721096907
"ENST00000688211.1",1030.46793822542,-11.6403600950853,2.30551791584059,-5.04891331145488,4.44330292080569e-07,0.00115358017830606
"ENST00000690207.1",5.84293822541885,-4.29577645590678,1.31329135559495,-3.27100032875851,0.00107167785850092,0.0493740248249506
"ENST00000369288.7",19.1554382254188,-5.75472923590917,1.67339889254954,-3.43894648283259,0.000583982667906304,0.0345749311125948
"ENST00000369356.8",9.34293822541885,-5.0526796975988,1.39193914806305,-3.62995731862981,0.000283468088631996,0.0231400142001172
"ENST00000448301.7",134.905438225419,-8.17465210981094,2.07048360032949,-3.94818491124974,7.87459722277406e-05,0.0123488482353919
"ENST00000271640.9",75.0929382254188,-8.00427454403095,1.88389158184992,-4.24879787199379,2.14920729154265e-05,0.00632489840627818
"ENST00000315144.14",26.5929382254188,-6.26189381744174,1.73660692358143,-3.6058210596833,0.000311167508814609,0.0240712735306157
"ENST00000679133.1",181.905438225419,-7.29832966739564,1.83470578412079,-3.97792917565421,6.95180703735837e-05,0.011520278243611
"ENST00000368259.6",6.40543822541885,-4.44750857528079,1.31153064544946,-3.39108246590504,0.000696171501821242,0.0380064096064372
"ENST00000368114.1",7.46793822541885,-4.69659975669121,1.36741916606821,-3.43464525965035,0.000593329979514382,0.0350094654074067
"ENST00000367723.8",39.8429382254188,-6.78935249387435,1.92874155314038,-3.52009447964654,0.000431393101751707,0.0288823243998005
"ENST00000681986.1",140.280438225419,-8.84711840897332,2.00624103478102,-4.40979835204048,1.03466919025342e-05,0.00424141759639673
"ENST00000255432.11",15.2804382254188,-5.4135057264253,1.63819082445278,-3.30456357441364,0.000951243989725503,0.0464024364591359
"ENST00000608999.6",42.1554382254188,-6.34576943926975,1.93075985179257,-3.28666945989072,0.00101379755479833,0.0482506327001095
"ENST00000322875.8",58.7179382254188,-7.6167259606814,1.8505051602027,-4.11602524785561,3.85462099718037e-05,0.00859904330879421
"ENST00000651706.1",6.65543822541885,-4.51009045078998,1.32977640350981,-3.39161564221326,0.000694818349771427,0.0380064096064372
"ENST00000651761.1",11.6554382254188,-5.2304365367562,1.52629142598883,-3.42689243200563,0.000610530868999193,0.0352131429051585
"ENST00000692419.1",48.2804382254188,-6.97566277330757,1.86266021079446,-3.74500015240692,0.000180393666233193,0.0186972698356181
"ENST00000351948.8",39.8429382254188,-7.24100750691123,1.60729041974967,-4.50510213831735,6.63410256732058e-06,0.00370822659109361
"ENST00000237822.8",18.7179382254188,-5.69533317917206,1.67055456289396,-3.40924702830767,0.00065142463016693,0.0362868249490863
"ENST00000406818.8",9.03043822541885,-4.99910954710803,1.38671322622647,-3.60500603337549,0.000312145676614592,0.0240712735306157
"ENST00000323064.12",9.78043822541885,-5.12446292203417,1.41496336501794,-3.6216223322285,0.000292761308066658,0.0233469649293021
"ENST00000402003.7",33.7179382254188,-6.99502009705602,1.59084419198339,-4.39704914680233,1.097325051604e-05,0.00424436701976836
"ENST00000404816.7",30.3429382254188,-6.78312504621903,1.65152623786112,-4.10718575988463,4.00509117908925e-05,0.00875912200677261
"ENST00000403687.8",23.7804382254188,-6.22970893042487,1.69211245403412,-3.68161638168479,0.000231759951931186,0.0208280886031696
"ENST00000464909.2",7.96793822541885,-4.80049448473614,1.36098317893324,-3.52722543455594,0.000419939050120754,0.0287750611293887
"ENST00000413539.6",102.780438225419,-7.78759325580879,2.00298363858085,-3.88799643981438,0.000101075108889809,0.0135075943309048
"ENST00000429174.6",67.2804382254188,-8.00842280552106,1.67612858021556,-4.77792867447622,1.77110178672511e-06,0.00217808233413784
"ENST00000295133.9",41.9679382254188,-7.31741094859869,1.61364008409303,-4.53472309019364,5.76791081103942e-06,0.00363867027989344
"ENST00000377469.1",15.9679382254188,-5.59058839707901,1.61711659992437,-3.45713376347784,0.000545953777907256,0.0334822991458817
"ENST00000393761.6",21.4054382254188,-5.95932004130005,1.72013982662792,-3.46443931420529,0.000531338008591352,0.032920894740718
"ENST00000695481.2",5.71793822541885,-4.2598654328281,1.28567633302327,-3.31332647526537,0.000921932951765398,0.0455430979935524
"ENST00000653793.1",12.7179382254188,-5.32051949226044,1.55021204262616,-3.43212370047593,0.000598874331340878,0.0351590392615853
"ENST00000393445.7",41.9054382254188,-5.85466923849655,1.56960824274852,-3.73001942716899,0.000191465007151123,0.0191186810132185
"ENST00000664443.1",9.15543822541885,-5.02076224063231,1.39816320947613,-3.59097007173684,0.000329449469021871,0.0250746459060751
"ENST00000409894.7",23.6554382254188,-6.06217462820346,1.71455544583979,-3.53571221211467,0.000406677462630432,0.0281953972508071
"ENST00000436293.6",5.84293822541885,-4.29581772250293,1.29986733025077,-3.30481243933886,0.000950399786865797,0.0464024364591359
"ENST00000681549.1",42.0929382254188,-6.43588927245842,1.68812725502666,-3.8124431989914,0.000137599857462963,0.0163206003526883
"ENST00000539609.7",36.0304382254188,-7.09288169107709,1.60501599458439,-4.41919688963208,9.90683619820845e-06,0.00424141759639673
"ENST00000241416.12",26.6554382254188,-6.15322427112269,1.82743083323042,-3.36714482388666,0.000759507910341982,0.0405174927695223
